Date,Price,Open,High,Low,Vol.,Change %
01-Feb-19,524.38,516.5,526.38,515.38,-,1.53%
31-Jan-19,516.5,517.75,520,513.62,-,-0.24%
30-Jan-19,517.75,513.75,517.88,511.62,-,0.78%
29-Jan-19,513.75,518,521.88,510.88,-,-0.82%
28-Jan-19,518,519,523.62,516,-,-0.10%
27-Jan-19,518.5,520.88,520.88,518.25,-,-0.46%
25-Jan-19,520.88,521.25,522.88,516.88,-,-0.07%
24-Jan-19,521.25,526.62,528.88,521.12,-,-1.09%
23-Jan-19,527,523.12,527,521.88,-,0.86%
22-Jan-19,522.5,517.25,525.88,514.5,-,1.06%
21-Jan-19,517,517.5,520.5,515.25,-,0.00%
20-Jan-19,517,517.5,517.5,517,-,0.02%
18-Jan-19,516.88,519.75,522.12,515.38,-,-0.50%
17-Jan-19,519.5,511.25,522.38,509.12,-,1.66%
16-Jan-19,511,510,516.62,510,-,0.25%
15-Jan-19,509.75,514.5,518.38,508.12,-,-0.88%
14-Jan-19,514.25,520.5,521.75,513.38,-,-1.08%
11-Jan-19,519.88,513.75,523.75,513.38,-,1.29%
10-Jan-19,513.25,519.5,520.12,512,-,-1.35%
09-Jan-19,520.25,518.5,523.75,518.38,-,0.43%
08-Jan-19,518,517,524.5,514.38,-,0.19%
07-Jan-19,517,518.75,518.75,513.5,-,-0.29%
06-Jan-19,518.5,516.38,518.5,516,-,0.44%
04-Jan-19,516.25,514,518.75,513,-,0.49%
03-Jan-19,513.75,508.25,515.88,506,-,1.43%
02-Jan-19,506.5,503.12,510.62,501.38,-,0.70%
31-Dec-18,503,511.5,513.12,503,-,-1.61%
28-Dec-18,511.25,511,513.88,509.5,-,0.05%
27-Dec-18,511,511.75,514,507.25,-,-0.24%
26-Dec-18,512.25,515.75,520.62,509,-,-0.73%
24-Dec-18,516,511.25,518,511,-,0.98%
23-Dec-18,511,511,511,511,-,-0.54%
21-Dec-18,513.75,522.5,524,512.38,-,-1.67%
20-Dec-18,522.5,524.25,527.75,521.25,-,-0.29%
19-Dec-18,524,532.88,532.88,521.5,-,-1.55%
18-Dec-18,532.25,535,535.88,529.88,-,-0.51%
17-Dec-18,535,531.12,537.38,530,-,0.94%
